,S.I,Entity / Organization Name,Baseline Name Matching ,Partial / Close Name Handling,Alias-Based Matching,Observations,Implementation Status,Implementation Notes
,1,AEROCARIBBEAN AIRLINES,Pass,"Partial-name handling resulted in unrelated alias matches in Score Trace Report. AEROCARIBBEAN matched with AIR KORYO and CARIBBEAN AIRLINES matched with CASPIAN AIRLINES, though the correct entity was also listed in search result.","Pass
(AERO-CARIBBEAN)","It appears close-name matching is broad, causing unrelated entities to appear in results.",,
,2,"ANGLO-CARIBBEAN CO., LTD.",Pass,Pass,"Pass
(AVIA IMPORT)",-,,
,3,BANCO NACIONAL DE CUBA,Pass,Pass,"Pass
(BNC / NATIONAL BANK OF CUBA)",-,,
,4,BOUTIQUE LA MAISON,Pass,Pass,N/A,-,,
,5,"CECOEX, S.A.",Pass,Screening using CECOEX (without “S.A.”) failed to list the entity. A hit was instead generated on an unrelated individual with alias “CHACHAJEE.”,N/A,Partial-name suppression increases the risk of missed entity-level sanctions hits.,,
,6,CIMEX,"Direct name and aliases detected; however, multiple other OFAC-listed entities were omitted (e.g., CIMEX IBERICA, COMERCIAL CIMEX S.A., FINANCIERA CIMEX S.A.).",N/A,N/A,Related sanctioned entities listed by OFAC are not fully reflected in the results.,,
,7,"COMERCIAL DE RODAJES Y MAQUINARIA, S.A.",Pass,Pass,"Pass 
(CRYMSA)",-,,
,8,COTEI,Pass,Pass,N/A,-,,
,9,"EDYJU, S.A.",Pass,Pass,N/A,-,,
,10,TROPIC TOURS GMBH,Pass,Pass,"Pass
(TROPICANA TOURS GMBH)",-,,
,11,BANK MARKAZI JOMHOURI ISLAMI IRAN,Pass,Pass,"Pass
(CENTRAL BANK OF THE ISLAMIC REPUBLIC OF IRAN / BANK MARKAZI IRAN / CENTRAL BANK OF IRAN)",-,,
,12,BANK MASKAN,Pass,"Screening using MASKAN did not list the sanctioned entity. Also, watchman listed a different set of hits compared to OFAC.","Pass
(HOUSING BANK - OF IRAN)",Partial-name handling gap resulting in potential false negatives.,,
,13,AUM SHINRIKYO,Pass,"Partial-name handling resulted in unrelated alias matches in Score Trace Report. Score Trace showed SHINRIKYO matched with SUNRISE & SOMERSET, though the correct entity was also listed in search result.","Pass
(AUM SUPREME TRUTH / A.I.C. SOGO KENKYUSHO / A.I.C. COMPREHENSIVE RESEARCH INSTITUTE / ALEPH)","It appears close-name matching is broad, causing unrelated entities to appear in results.",,
,14,GAMA'A AL-ISLAMIYYA,Pass,"Partial-name search (AL-ISLAMIYYA) listed only the primary entity, while OFAC lists multiple related names.","Alias search (ISLAMIC GROUP) listed only the primary entity, unlike OFAC, which listed multiple related names.",Incomplete alias and entity name coverage compared to OFAC reference data.,,
,15,HIZBALLAH,Pass,Pass,Pass (multiple aliases),-,,
,16,PALESTINE ISLAMIC JIHAD - SHAQAQI FACTION,Pass,"Partial-name search (ISLAMIC JIHAD) listed a different entity (HIZBALLAH), while OFAC lists several matching records, including the main entity.","Alias ""PIJ"" was not detected for the main entity instead matched against an unrelated alias ""PKK"". ",Using partial names or acronyms shows unrelated results while missing valid OFAC records.,,
,17,AL-QUDS BRIGADES,Pass,"Partial-name search (AL-QUDS) listed a different entity (IRGC-QODS FORCE), while OFAC lists several matching names, including the main entity.",N/A,Partial-name searches prioritize unrelated entities and missed valid OFAC records.,,
,18,SAYARA AL-QUDS,Pass,"Partial-name search (SAYARA) listed a different entity (SANABEL RELIEF AGENCY LIMITED with alias SRA), while OFAC lists the main entity.",N/A,Partial-name searches create unrelated matches and miss valid entity results.,,
,19,ABU GHUNAYM SQUAD OF THE HIZBALLAH BAYT AL-MAQDIS,Pass,"Partial-name search on ""THE HIZBALLAH BAYT AL-MAQDIS"" didn’t give any results and ""HIZBALLAH BAYT AL-MAQDIS"" listed ""HIZBALLAH"" and omitted the main entity.",N/A,"It appears multiple sanctioned groups are treated as one broader entity, reducing accuracy.",,
,20,SHINING PATH,Pass,Pass,"Pass (aliases including short names SPP, EGP, PCP, EPL,SL)",-,,
,21,AL QA'IDA,"Direct name and aliases detected; however, several other OFAC-listed entities were omitted (e.g., 
AL-QA'IDA KURDISH BATTALIONS;
AL-QAIDA GROUP OF JIHAD IN IRAQ;
AL-QA'IDA IN YEMEN;
AL-QAIDA IN SYRIA).",Pass,Pass,Not all related OFAC-listed entities are shown in the results.,,
,22,TALIBAN,"Direct name and aliases detected; however, several other OFAC-listed entities were omitted (e.g., 
KURDISH TALIBAN;
TEHREEK-E-TALIBAN;
TEHRIK-E-TALIBAN-TARIQ GIDAR GROUP).",Pass,Pass,Not all related OFAC-listed entities are shown in the results.,,
,23,GALAPAGOS S.A,Pass,"Screening using GALAPAGOS (without “S.A.”) failed to list the entity. Hits were instead generated on unrelated enities with aliases “GLBC” and ""GLAVGOSEKSPERTIZA"".",N/A,Partial-name suppression increases the risk of missed entity-level sanctions hits.,,
,24,CONTINUITY IRA,Pass,"Partial-name search (IRA) listed different entities (IARA, ISLAMIC RELIEF AGENCY, etc.), while OFAC lists a different set of names, including the main entity.","Pass
(CONTINUITY ARMY COUNCIL / CONTINUITY IRISH REPUBLICAN ARMY / REPUBLICAN SINN FEIN / CIRA)",Using partial names or acronyms shows unrelated results while missing valid OFAC records.,,
,25,ORANGE VOLUNTEERS,Pass,Pass,N/A,-,,
,26,ACCESOS ELECTRONICOS S.A.DE C.V.,Full name without punctuation (ACCESOS ELECTRONICOS SADE CV) didn’t return the entity.,Pass,N/A,Sensitivity to punctuation and formatting may suppress valid entity matches.,,
,27,GEX EXPLORE S. DE R.L. DE C.V.,Pass,Name order variation (EXPLORE GEX) didn’t return the main entity.,N/A,Entity name-order handling remains inconsistent.,,
,28,ASKATASUNA,Pass,Pass,"Pass (aliases including short names EKIN, XAKI, ETA, K.A.S.)",-,,
,29,"FORPRES, S.C.",Pass,Pass,N/A,-,,
,30,"ADP, S.C.",Pass,Screening using ADP (without “S.C.”) failed to list the entity. Hits were instead generated on unrelated enities with alias “ADF”.,N/A,Partial-name suppression increases the risk of missed entity-level sanctions hits.,,
