,S.I,Entity / Organization Name,Baseline Name Matching ,Partial / Close Name Handling,Alias-Based Matching,Observations,Implementation Status,Implementation Notes,Retest Comments,Implementation Notes,Retest Comments,Implementation Notes,Retest Comments,Implementation Notes
,1,AEROCARIBBEAN AIRLINES,Pass,"Partial-name handling resulted in unrelated alias matches in Score Trace Report. AEROCARIBBEAN matched with AIR KORYO and CARIBBEAN AIRLINES matched with CASPIAN AIRLINES, though the correct entity was also listed in search result.","Pass
(AERO-CARIBBEAN)","It appears close-name matching is broad, causing unrelated entities to appear in results.",Pass,Filter entities below 0.85 confidence threshold from Score Trace while keeping all search results intact.,-,,-,,,
,2,"ANGLO-CARIBBEAN CO., LTD.",Pass,Pass,"Pass
(AVIA IMPORT)",-,Pass,,-,,-,,,
,3,BANCO NACIONAL DE CUBA,Pass,Pass,"Pass
(BNC / NATIONAL BANK OF CUBA)",-,Pass,,-,,-,,,
,4,BOUTIQUE LA MAISON,Pass,Pass,N/A,-,Pass,,-,,-,,,
,5,"CECOEX, S.A.",Pass,Screening using CECOEX (without “S.A.”) failed to list the entity. A hit was instead generated on an unrelated individual with alias “CHACHAJEE.”,N/A,Partial-name suppression increases the risk of missed entity-level sanctions hits.,Pass,"Add length validation to prevent phonetic matching of strings with significantly different lengths. The phonetic check should only apply to spelling variations (Muhammad/Mohammad), not completely different strings.",-,,-,,,
,6,CIMEX,"Direct name and aliases detected; however, multiple other OFAC-listed entities were omitted (e.g., CIMEX IBERICA, COMERCIAL CIMEX S.A., FINANCIERA CIMEX S.A.).",N/A,N/A,Related sanctioned entities listed by OFAC are not fully reflected in the results.,Pass,Changed limit semantics in SearchServiceImpl.java - limit applies to unique entities BEFORE alias expansion. All 7 CIMEX entities now returned correctly,"There are more results in OFAC like CORPORACION CIMEX S.A. (2 distinct SDN hits), FINANCIERA CIMEX S.A and its aliases, which are not listed in Watchman.","Changed the limit to apply to UNIQUE ENTITIES first, then expand aliases. Now with limit=10, you get 10 different entities (not 10 alias rows from 2 entities).

Modified SearchServiceImpl.java line 117 to apply .limit(limit) to unique entities before alias expansion.
","Below entities or aliases are not listed in Watchman for the keyword ""CIMEX"".
a. CORPORACION CIMEX S.A. - https://sanctionssearch.ofac.treas.gov/Details.aspx?id=8125
b. CORPORACION CIMEX, S.A. - https://sanctionssearch.ofac.treas.gov/Details.aspx?id=576
c. FINANCIERA CIMEX S.A - https://sanctionssearch.ofac.treas.gov/Details.aspx?id=30630","Change: .limit(limit) now applies to unique entities BEFORE alias expansion, not total results.","The same issues persist.

The search results are limited to the top 5 entries. Please remove this restriction.","Added configurable limit input (default 50, max 100) 

"
,7,"COMERCIAL DE RODAJES Y MAQUINARIA, S.A.",Pass,Pass,"Pass 
(CRYMSA)",-,Pass,,-,,-,,,
,8,COTEI,Pass,Pass,N/A,-,Pass,,-,,-,,,
,9,"EDYJU, S.A.",Pass,Pass,N/A,-,Pass,,-,,-,,,
,10,TROPIC TOURS GMBH,Pass,Pass,"Pass
(TROPICANA TOURS GMBH)",-,Pass,,-,,-,,,
