,S.I,Entity / Organization Name,Baseline Name Matching ,Partial / Close Name Handling,Alias-Based Matching,Observations,Implementation Status,Implementation Notes,Retest Comments
,1,"GRUPO COMERCIAL SAN BLAS, S.A. DE C.V.",Pass,Pass,N/A,-,Pass,,
,2,METALLURG-TULAMASH OOO,Pass,Pass,N/A,-,Pass,,
,3,SB SECURITIES SA,Pass,Pass,N/A,-,Pass,,
,4,JOINT STOCK COMPANY URAL SCIENTIFIC AND TECHNOLOGICAL COMPLEX,Pass,Pass,"Pass
(AKTSIONERNOE OBSHCHESTVO URALSKII NAUCHNO TEKHNOLOGICHESKII KOMPLEKS / AO UNTK)",-,Pass,,
,5,ARGON OOO,Pass,Pass,"Pass
(OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU ARGON / ARGON)",-,Pass,,
,6,JOINT STOCK COMPANY BLACK SEA BANK OF DEVELOPMENT AND RECONSTRUCTION,Pass,Pass,"Pass
(BANK CHBRR, AO / JSC 'BLACK SEA BANK FOR DEVELOPMENT & RECONSTRUCTION' / OPEN JOINT STOCK COMPANY BLACK SEA DEVELOPMENT AND RECONSTRUCTION BANK / BANK CHBRR, PAO / 'CHERNOMORSKI BANK RAZVITIYA I REKONSTRUKTSII, OTKRYTOE AKTSIONERNOE OBSHCHESTVO' / AKTSIONERNOE OBSHCHESTVO CHERNOMORSKI BANK RAZVITIYA I REKONSTRUKTSII)",-,Pass,,
,7,P.C.C. (SINGAPORE) PRIVATE LIMITED,Pass,Pass,"Pass
(PCC SINGAPORE PTE LTD / P.C.C. SINGAPORE BRANCH)",-,Pass,,
,8,"WUHAN XIAORUIZHI SCIENCE AND TECHNOLOGY COMPANY, LIMITED",Pass,Pass,N/A,-,Pass,,
,9,"CORPORATIVO INTEGRAL DE LA COSTA, S.A. DE C.V.",Pass,Pass,N/A,-,Pass,,
,10,DINA PETROKIMYA SANAYI TICARET ANONIM SIRKETI,Pass,Pass,N/A,-,Pass,,
,11,LIMITED LIABILITY COMPANY EMERGENCY DIGITAL SOLUTIONS,Pass,Pass,"Pass
(LLC EDS)",-,Pass,,
,12,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU KORPORATSIYA AIPI,Pass,Pass,N/A,-,Pass,,
